x:tensor([[-5.0503]]),y:tensor([[120.1593]])
x:tensor([[2.7427]]),y:tensor([[117.2326]])
x:tensor([[-16.3561]]),y:tensor([[122.7263]])
x:tensor([[-18.6408]]),y:tensor([[119.8128]])
x:tensor([[-17.1407]]),y:tensor([[118.4813]])
x:tensor([[-15.1176]]),y:tensor([[98.9636]])
x:tensor([[-16.8682]]),y:tensor([[80.0290]])
x:tensor([[-10.8596]]),y:tensor([[60.6537]])
x:tensor([[0.1998]]),y:tensor([[64.6083]])
x:tensor([[-11.3503]]),y:tensor([[57.0470]])
x:tensor([[-24.0220]]),y:tensor([[49.0218]])
x:tensor([[-9.8711]]),y:tensor([[52.1783]])
x:tensor([[-30.3744]]),y:tensor([[36.2893]])
x:tensor([[-85.8154]]),y:tensor([[24.3880]])
x:tensor([[-77.5959]]),y:tensor([[23.2218]])
x:tensor([[-67.9737]]),y:tensor([[22.8714]])
x:tensor([[-100.2605]]),y:tensor([[25.1300]])
x:tensor([[-103.6492]]),y:tensor([[34.9895]])
x:tensor([[-104.1235]]),y:tensor([[36.3187]])
x:tensor([[-91.2450]]),y:tensor([[34.6855]])
x:tensor([[-72.3350]]),y:tensor([[25.8623]])
x:tensor([[-41.6701]]),y:tensor([[16.0880]])
x:tensor([[-48.4889]]),y:tensor([[11.4061]])
x:tensor([[-55.5986]]),y:tensor([[21.4820]])
x:tensor([[-51.1466]]),y:tensor([[22.4264]])
x:tensor([[-55.7639]]),y:tensor([[28.4708]])
x:tensor([[-49.8984]]),y:tensor([[33.5261]])
x:tensor([[-48.4128]]),y:tensor([[25.6454]])
x:tensor([[-45.9120]]),y:tensor([[22.4442]])
x:tensor([[-46.7933]]),y:tensor([[24.8770]])
x:tensor([[-51.8827]]),y:tensor([[23.5385]])
x:tensor([[-62.9184]]),y:tensor([[32.9275]])
x:tensor([[-53.2566]]),y:tensor([[23.6520]])
x:tensor([[-52.0649]]),y:tensor([[22.7125]])
x:tensor([[-54.4316]]),y:tensor([[30.4762]])
x:tensor([[-57.6941]]),y:tensor([[43.6951]])
x:tensor([[-0.2657]]),y:tensor([[36.9095]])
x:tensor([[74.3776]]),y:tensor([[31.5148]])
x:tensor([[74.4974]]),y:tensor([[20.3491]])
x:tensor([[71.1006]]),y:tensor([[38.6603]])
x:tensor([[108.6870]]),y:tensor([[25.4811]])
x:tensor([[118.5951]]),y:tensor([[27.8310]])
x:tensor([[118.8449]]),y:tensor([[25.6644]])
x:tensor([[118.3549]]),y:tensor([[22.8658]])
x:tensor([[119.5223]]),y:tensor([[33.2079]])
x:tensor([[119.6417]]),y:tensor([[34.8791]])
x:tensor([[116.1977]]),y:tensor([[21.6212]])
x:tensor([[118.5243]]),y:tensor([[26.4327]])
x:tensor([[103.0230]]),y:tensor([[37.2501]])
x:tensor([[102.4982]]),y:tensor([[33.8684]])
x:tensor([[108.3269]]),y:tensor([[47.4983]])
x:tensor([[101.3410]]),y:tensor([[37.5747]])
x:tensor([[81.8018]]),y:tensor([[31.1730]])
x:tensor([[89.4036]]),y:tensor([[31.7848]])
x:tensor([[96.4277]]),y:tensor([[43.0694]])
x:tensor([[91.5987]]),y:tensor([[30.3806]])
x:tensor([[101.0355]]),y:tensor([[33.3831]])
x:tensor([[117.0397]]),y:tensor([[61.7862]])
x:tensor([[112.4243]]),y:tensor([[66.0392]])
x:tensor([[110.2740]]),y:tensor([[57.7199]])
x:tensor([[107.2233]]),y:tensor([[65.9612]])
x:tensor([[107.5429]]),y:tensor([[66.4820]])
x:tensor([[76.5476]]),y:tensor([[83.8566]])
x:tensor([[76.5739]]),y:tensor([[83.7655]])
x:tensor([[68.5276]]),y:tensor([[84.2313]])
x:tensor([[63.5093]]),y:tensor([[110.8094]])
x:tensor([[61.2528]]),y:tensor([[105.7983]])
x:tensor([[62.3258]]),y:tensor([[108.3573]])
x:tensor([[54.8601]]),y:tensor([[119.2017]])
x:tensor([[59.3149]]),y:tensor([[121.0713]])
x:tensor([[73.4376]]),y:tensor([[132.5115]])
x:tensor([[63.8317]]),y:tensor([[131.7486]])
x:tensor([[71.2354]]),y:tensor([[121.0118]])
x:tensor([[-2.9225]]),y:tensor([[132.2638]])
x:tensor([[-37.2696]]),y:tensor([[140.8898]])
x:tensor([[-32.9858]]),y:tensor([[127.8200]])
x:tensor([[-46.9341]]),y:tensor([[144.2406]])
x:tensor([[-61.7530]]),y:tensor([[140.5609]])
x:tensor([[-86.4248]]),y:tensor([[136.8112]])
x:tensor([[-81.6415]]),y:tensor([[152.5693]])
x:tensor([[-93.5699]]),y:tensor([[142.8097]])
x:tensor([[-89.1160]]),y:tensor([[143.9062]])
x:tensor([[-80.9152]]),y:tensor([[130.5429]])
x:tensor([[-125.4874]]),y:tensor([[119.1271]])
x:tensor([[-83.6211]]),y:tensor([[124.3704]])
x:tensor([[-99.5960]]),y:tensor([[121.4968]])
x:tensor([[-96.9046]]),y:tensor([[124.9917]])
x:tensor([[-99.8730]]),y:tensor([[131.7200]])
x:tensor([[-96.0578]]),y:tensor([[131.7737]])
x:tensor([[-98.4589]]),y:tensor([[137.6735]])
x:tensor([[-81.6022]]),y:tensor([[131.2805]])
x:tensor([[-52.0753]]),y:tensor([[107.9988]])
x:tensor([[-52.8883]]),y:tensor([[106.8900]])
x:tensor([[-49.8475]]),y:tensor([[119.0075]])
x:tensor([[-41.8284]]),y:tensor([[111.4204]])
x:tensor([[-14.5097]]),y:tensor([[148.0722]])
x:tensor([[9.9304]]),y:tensor([[136.4817]])
x:tensor([[-6.0228]]),y:tensor([[126.8181]])
x:tensor([[-8.3051]]),y:tensor([[137.9662]])
